link_id,from_node_id,to_node_id,length,geometry
834,726,368,115.5615646,"LINESTRING (-109.7758547 34.2821818, -109.774597 34.2821701)"
835,368,726,115.5615646,"LINESTRING (-109.774597 34.2821701, -109.7758547 34.2821818)"
836,365,350,193.9129005,"LINESTRING (-109.7530551 34.3232282, -109.7514479 34.3243593)"
837,350,365,193.9129005,"LINESTRING (-109.7514479 34.3243593, -109.7530551 34.3232282)"
838,350,616,775.5044377,"LINESTRING (-109.7514479 34.3243593, -109.7447705 34.3284606)"
839,616,350,775.5044377,"LINESTRING (-109.7447705 34.3284606, -109.7514479 34.3243593)"
840,364,367,479.158014,"LINESTRING (-109.7524895 34.3199567, -109.7575857 34.3201783)"
841,367,364,479.158014,"LINESTRING (-109.7575857 34.3201783, -109.7524895 34.3199567)"
842,363,366,618.7781655,"LINESTRING (-109.7524895 34.3181579, -109.7592272 34.3181668)"
843,366,363,618.7781655,"LINESTRING (-109.7592272 34.3181668, -109.7524895 34.3181579)"
844,369,370,405.1951063,"LINESTRING (-109.7441046 34.2535989, -109.7485131 34.2535668)"
845,370,369,405.1951063,"LINESTRING (-109.7485131 34.2535668, -109.7441046 34.2535989)"
846,100,96,762.735592,"LINESTRING (-109.708475 34.228373, -109.716568 34.22968)"
847,96,100,762.735592,"LINESTRING (-109.716568 34.22968, -109.708475 34.228373)"
848,96,82,454.8517225,"LINESTRING (-109.716568 34.22968, -109.721046 34.22916)"
849,82,96,454.8517225,"LINESTRING (-109.721046 34.22916, -109.716568 34.22968)"
850,82,98,409.7235767,"LINESTRING (-109.721046 34.22916, -109.725354 34.229092)"
851,98,82,409.7235767,"LINESTRING (-109.725354 34.229092, -109.721046 34.22916)"
852,98,130,91.58056792,"LINESTRING (-109.725354 34.229092, -109.7262055 34.228665)"
853,130,98,91.58056792,"LINESTRING (-109.7262055 34.228665, -109.725354 34.229092)"
854,155,340,803.1701956,"LINESTRING (-109.8308377 34.3450698, -109.8309881 34.3378478)"
